Date,Value,Ticker,Type
2018-08-03,384.81288862241735,META,Mag 7
2018-08-06,401.93445603328416,META,Mag 7
2018-08-07,397.8650704658689,META,Mag 7
2018-08-08,400.8305237880005,META,Mag 7
2018-08-09,396.3065915680373,META,Mag 7
2018-08-10,390.1809789113982,META,Mag 7
2018-08-13,389.7264322588502,META,Mag 7
2018-08-14,392.02086598687094,META,Mag 7
2018-08-15,388.60083278023853,META,Mag 7
2018-08-16,378.14609361187104,META,Mag 7
2018-08-17,376.19806976147567,META,Mag 7
2018-08-20,373.3840876809228,META,Mag 7
2018-08-21,373.6438286252359,META,Mag 7
2018-08-22,375.85169311580324,META,Mag 7
2018-08-23,374.2499129832684,META,Mag 7
2018-08-24,378.0378571410896,META,Mag 7
2018-08-27,384.12030149083733,META,Mag 7
2018-08-28,381.52275911989443,META,Mag 7
2018-08-29,380.7435362869551,META,Mag 7
2018-08-30,384.509912907307,META,Mag 7
2018-08-31,380.37559210381346,META,Mag 7
2018-09-04,370.4836360587754,META,Mag 7
2018-09-05,361.8687175019748,META,Mag 7
2018-09-06,351.803589750077,META,Mag 7
2018-09-07,352.90745553145473,META,Mag 7
2018-09-10,355.3750277343823,META,Mag 7
2018-09-11,359.1846723574844,META,Mag 7
2018-09-12,350.65635627009016,META,Mag 7
2018-09-13,349.2710490791182,META,Mag 7
2018-09-14,351.34904309752903,META,Mag 7
2018-09-17,347.58269970913005,META,Mag 7
2018-09-18,346.9766818150034,META,Mag 7
2018-09-19,352.95078999811085,META,Mag 7
2018-09-20,359.35787729629703,META,Mag 7
2018-09-21,352.6693818204697,META,Mag 7
2018-09-24,358.03750534140346,META,Mag 7
2018-09-25,356.95520709749485,META,Mag 7
2018-09-26,361.3708696147237,META,Mag 7
2018-09-27,365.4618559515611,META,Mag 7
2018-09-28,355.98117855632074,META,Mag 7
2018-10-01,351.60878404184217,META,Mag 7
2018-10-02,344.87698733131157,META,Mag 7
2018-10-03,351.58705034460814,META,Mag 7
2018-10-04,343.83802355405913,META,Mag 7
2018-10-05,340.5479605154421,META,Mag 7
2018-10-08,340.3747888085824,META,Mag 7
2018-10-09,341.7816967689764,META,Mag 7
2018-10-10,327.66891714689734,META,Mag 7
2018-10-11,331.9330087266885,META,Mag 7
2018-10-12,332.7772000276591,META,Mag 7
2018-10-15,332.30105260568905,META,Mag 7
2018-10-16,343.6865190805275,META,Mag 7
2018-10-17,345.0718262714994,META,Mag 7
2018-10-18,335.331374699993,META,Mag 7
2018-10-19,333.4482528537229,META,Mag 7
2018-10-22,335.0283325209767,META,Mag 7
2018-10-23,334.1841744519591,META,Mag 7
2018-10-24,316.1101792693403,META,Mag 7
2018-10-25,326.7381566084734,META,Mag 7
2018-10-26,314.65997007424306,META,Mag 7
2018-10-29,307.56026241252385,META,Mag 7
2018-10-30,316.49982391776285,META,Mag 7
2018-10-31,328.5563432186652,META,Mag 7
2018-11-01,328.4697739812118,META,Mag 7
2018-11-02,325.43935219104895,META,Mag 7
2018-11-05,321.82461297204054,META,Mag 7
2018-11-06,324.55195935123413,META,Mag 7
2018-11-07,327.9935933272887,META,Mag 7
2018-11-08,320.0712951340211,META,Mag 7
2018-11-09,313.77254400247523,META,Mag 7
2018-11-12,306.3914281631149,META,Mag 7
2018-11-13,307.7118333499614,META,Mag 7
2018-11-14,312.1707638699404,META,Mag 7
2018-11-15,311.369907035626,META,Mag 7
2018-11-16,302.01900041668335,META,Mag 7
2018-11-19,284.74596176423785,META,Mag 7
2018-11-20,286.65075084383597,META,Mag 7
2018-11-21,291.8240354245819,META,Mag 7
2018-11-23,285.1355731807075,META,Mag 7
2018-11-26,295.20070093260534,META,Mag 7
2018-11-27,292.2136136090986,META,Mag 7
2018-11-28,296.0232250002478,META,Mag 7
2018-11-29,300.1791465731635,META,Mag 7
2018-11-30,304.3567353794072,META,Mag 7
2018-12-03,305.39573238861266,META,Mag 7
2018-12-04,298.5557324392536,META,Mag 7
2018-12-06,302.23550659019924,META,Mag 7
2018-12-07,297.4518001939699,META,Mag 7
2018-12-10,307.0407472919447,META,Mag 7
2018-12-11,307.53862841114875,META,Mag 7
2018-12-12,312.77681499602,META,Mag 7
2018-12-13,313.88071400935075,META,Mag 7
2018-12-14,311.8243872242681,META,Mag 7
2018-12-17,303.44757561040547,META,Mag 7
2018-12-18,310.9585951538753,META,Mag 7
2018-12-19,288.40406868185534,META,Mag 7
2018-12-20,288.75037886362185,META,Mag 7
2018-12-21,270.4599605873696,META,Mag 7
2018-12-24,268.53350427444343,META,Mag 7
2018-12-26,290.43872823361005,META,Mag 7
2018-12-27,291.1746498318462,META,Mag 7
2018-12-28,288.3174329804961,META,Mag 7
