quote_date,description,item_id,price,item_name
1998-11-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5620271,Eggs
1998-11-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.9170275,Mushrooms
1998-11-01,FRESH VEG-TOMATOES-PER KG,212515,1.3701527,Tomatoes
1998-11-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.73304,Bread
1998-11-01,SAUSAGES-PORK-PER KG,211014,3.1674879,Sausages
1998-12-01,BACON-BACK-PER KG,210808,5.468897,Bacon
1998-12-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6506666,Eggs
1998-12-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.8831096,Mushrooms
1998-12-01,FRESH VEG-TOMATOES-PER KG,212515,1.4546756,Tomatoes
1998-12-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.72712,Bread
1998-12-01,SAUSAGES-PORK-PER KG,211014,3.1680877,Sausages
1999-01-01,BACON-BACK-PER KG,210808,5.3845496,Bacon
1999-01-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6253912,Eggs
1999-01-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7031683,Bread
1999-02-01,BACON-BACK-PER KG,210808,5.4299645,Bacon
1999-02-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.651022,Eggs
1999-02-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.9327881,Mushrooms
1999-02-01,FRESH VEG-TOMATOES-PER KG,212515,1.6127719,Tomatoes
1999-02-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.735826,Bread
1999-02-01,SAUSAGES-PORK-PER KG,211014,3.093775,Sausages
1999-03-01,BACON-BACK-PER KG,210808,5.62975,Bacon
1999-03-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6066188,Eggs
1999-03-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.8240974,Mushrooms
1999-03-01,FRESH VEG-TOMATOES-PER KG,212515,1.4930406,Tomatoes
1999-03-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.71575,Bread
1999-03-01,SAUSAGES-PORK-PER KG,211014,3.1757352,Sausages
1999-04-01,BACON-BACK-PER KG,210808,5.6256056,Bacon
1999-04-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5980282,Eggs
1999-04-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.7946575,Mushrooms
1999-04-01,FRESH VEG-TOMATOES-PER KG,212515,1.4522222,Tomatoes
1999-04-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.71760684,Bread
1999-04-01,SAUSAGES-PORK-PER KG,211014,3.1637638,Sausages
1999-05-01,BACON-BACK-PER KG,210808,5.5363507,Bacon
1999-05-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5906337,Eggs
1999-05-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.7959588,Mushrooms
1999-05-01,FRESH VEG-TOMATOES-PER KG,212515,1.4449328,Tomatoes
1999-05-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7345833,Bread
1999-05-01,SAUSAGES-PORK-PER KG,211014,3.1711786,Sausages
1999-06-01,BACON-BACK-PER KG,210808,5.520796,Bacon
1999-06-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6122535,Eggs
1999-06-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.8170319,Mushrooms
1999-06-01,FRESH VEG-TOMATOES-PER KG,212515,1.352226,Tomatoes
1999-06-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.72370684,Bread
1999-06-01,SAUSAGES-PORK-PER KG,211014,3.108546,Sausages
1999-07-01,BACON-BACK-PER KG,210808,5.638217,Bacon
1999-07-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6363946,Eggs
1999-07-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.8557587,Mushrooms
1999-07-01,FRESH VEG-TOMATOES-PER KG,212515,1.3449484,Tomatoes
1999-07-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.71912277,Bread
1999-07-01,SAUSAGES-PORK-PER KG,211014,3.170336,Sausages
1999-08-01,BACON-BACK-PER KG,210808,5.657435,Bacon
1999-08-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6400752,Eggs
1999-08-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.0028112,Mushrooms
1999-08-01,FRESH VEG-TOMATOES-PER KG,212515,1.2552204,Tomatoes
1999-08-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.72,Bread
1999-08-01,SAUSAGES-PORK-PER KG,211014,3.1926315,Sausages
1999-09-01,BACON-BACK-PER KG,210808,5.875088,Bacon
1999-09-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6467884,Eggs
1999-09-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.8834722,Mushrooms
1999-09-01,FRESH VEG-TOMATOES-PER KG,212515,1.3960544,Tomatoes
1999-09-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.72626084,Bread
1999-09-01,SAUSAGES-PORK-PER KG,211014,3.1663294,Sausages
1999-10-01,BACON-BACK-PER KG,210808,5.8699284,Bacon
1999-10-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6180283,Eggs
1999-10-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.8734035,Mushrooms
1999-10-01,FRESH VEG-TOMATOES-PER KG,212515,1.5718429,Tomatoes
1999-10-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.72823524,Bread
1999-10-01,SAUSAGES-PORK-PER KG,211014,3.1613603,Sausages
1999-11-01,BACON-BACK-PER KG,210808,5.8484344,Bacon
1999-11-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6378667,Eggs
1999-11-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.8481786,Mushrooms
1999-11-01,FRESH VEG-TOMATOES-PER KG,212515,1.4624316,Tomatoes
1999-11-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.72915256,Bread
1999-11-01,SAUSAGES-PORK-PER KG,211014,3.1767519,Sausages
1999-12-01,BACON-BACK-PER KG,210808,5.906167,Bacon
1999-12-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6288406,Eggs
